GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fondos-api,com.btgpactual,FondosApiApplication,5,77,0,2,2,17,1,4,1,3
fondos-api,com.btgpactual.exception,ActiveSubscriptionNotFoundException,0,4,0,0,0,2,0,1,0,1
fondos-api,com.btgpactual.exception,FundAlreadySubscribedException,0,4,0,0,0,2,0,1,0,1
fondos-api,com.btgpactual.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
fondos-api,com.btgpactual.exception,GlobalExceptionHandler,0,145,0,0,0,28,0,8,0,8
fondos-api,com.btgpactual.exception,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
fondos-api,com.btgpactual.security,AppConfig,0,22,0,0,0,6,0,4,0,4
fondos-api,com.btgpactual.security,JwtService,1,98,2,2,0,25,2,10,0,10
fondos-api,com.btgpactual.security,SecurityConfig,42,0,0,0,11,0,4,0,4,0
fondos-api,com.btgpactual.security,JwtAuthenticationFilter,0,81,3,7,0,23,3,4,0,2
fondos-api,com.btgpactual.security,UserDetailsServiceImpl,0,34,0,0,0,7,0,3,0,3
fondos-api,com.btgpactual.domain,TransactionType,0,15,0,0,0,3,0,1,0,1
fondos-api,com.btgpactual.domain,NotificationPreference,0,15,0,0,0,3,0,1,0,1
fondos-api,com.btgpactual.service,AuthService,0,66,0,2,0,19,0,4,0,3
fondos-api,com.btgpactual.service,NotificationService,0,35,0,4,0,10,0,6,0,4
fondos-api,com.btgpactual.service,FundService,34,229,3,11,2,59,7,11,5,6
fondos-api,com.btgpactual.controller,AuthController,0,9,0,0,0,2,0,2,0,2
fondos-api,com.btgpactual.controller,FundController,0,44,0,0,0,11,0,5,0,5
